id,name,nameDisplay,abv,ibu,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.category.description,style.category.updateDate
ujPz4L,Corona Extra,Corona Extra,4.6,19,1.0,97,N,verified,Verified,2012-01-03 02:43:01,2018-07-18 17:41:33,https://brewerydb-images.s3.amazonaws.com/beer/ujPz4L/upload_caVtLx-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ujPz4L/upload_caVtLx-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ujPz4L/upload_caVtLx-large.png,https://brewerydb-images.s3.amazonaws.com/beer/ujPz4L/upload_caVtLx-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/ujPz4L/upload_caVtLx-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/ujPz4L/upload_caVtLx-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,,
wIjz4t,Corona Familiar,Corona Familiar,6,,1.0,27,N,verified,Verified,2012-01-03 02:43:01,2015-12-16 11:28:16,https://brewerydb-images.s3.amazonaws.com/beer/wIjz4t/upload_fBetgk-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/wIjz4t/upload_fBetgk-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/wIjz4t/upload_fBetgk-large.png,https://brewerydb-images.s3.amazonaws.com/beer/wIjz4t/upload_fBetgk-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/wIjz4t/upload_fBetgk-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/wIjz4t/upload_fBetgk-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,27,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Belgo-Style Ale,American/Belgian Ale,"American-Belgo-Style Ales are
either 1) non-Belgian beer types portraying the
unique characters imparted by yeasts typically used
in big, fruity Belgian-style ales, or 2) defined Belgianstyle beers displaying the hallmark attributes typical
of American variety hops. These beers are unique
unto themselves.",,,,,5,,,,,2012-03-21 20:06:45,2020-02-19 00:48:40,,
MbZuu4,Corona Hard Seltzer Blackberry Lime,Corona Hard Seltzer Blackberry Lime,4.5,,,125,N,verified,Verified,2020-03-09 19:29:53,2020-03-09 19:32:12,,,,,,,,,,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,
DYkLMN,Corona Hard Seltzer Cherry,Corona Hard Seltzer Cherry,4.5,,,125,N,verified,Verified,2020-03-09 19:31:04,2020-03-09 19:31:04,,,,,,,,,,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,
yvIj3V,Corona Hard Seltzer Mango,Corona Hard Seltzer Mango,4.5,,,125,N,verified,Verified,2020-03-09 19:30:17,2020-03-09 19:30:17,,,,,,,,,,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,
bF1XCw,Corona Hard Seltzer Tropical Lime,Corona Hard Seltzer Tropical Lime,4.5,,,125,N,verified,Verified,2020-03-09 19:30:42,2020-03-09 19:30:42,,,,,,,,,,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,
u7U2Ga,Corona Light,Corona Light,4.5,18,1.0,94,N,verified,Verified,2012-01-03 02:43:01,2018-08-02 18:09:08,https://brewerydb-images.s3.amazonaws.com/beer/u7U2Ga/upload_oNzwiV-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/u7U2Ga/upload_oNzwiV-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/u7U2Ga/upload_oNzwiV-large.png,https://brewerydb-images.s3.amazonaws.com/beer/u7U2Ga/upload_oNzwiV-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/u7U2Ga/upload_oNzwiV-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/u7U2Ga/upload_oNzwiV-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,,
CtlHZ9,Corona Premier,Corona Premier,4,,,97,N,verified,Verified,2017-09-06 13:36:50,2018-08-02 18:14:08,https://brewerydb-images.s3.amazonaws.com/beer/CtlHZ9/upload_oGHxpx-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/CtlHZ9/upload_oGHxpx-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/CtlHZ9/upload_oGHxpx-large.png,https://brewerydb-images.s3.amazonaws.com/beer/CtlHZ9/upload_oGHxpx-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/CtlHZ9/upload_oGHxpx-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/CtlHZ9/upload_oGHxpx-contentAwareLarge.png,,,,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,,
1a9rOI,Corona Refresca Coconut Lime,Corona Refresca Coconut Lime,4.5,,,161,N,verified,Verified,2019-04-23 20:25:42,2019-04-23 20:25:42,,,,,,,,,,161,14,14,Malternative Beverages,2014-07-10 14:11:26,Flavored Malt Beverage,Flavored Malt Beverage,"Flavored malt beverages are brewery products that are different from traditional malt beverages like malt liquor, ales, and lagers in several aspects. Flavored malt beverages exhibit little or no traditional beer or malt beverage flavor characteristics. Their flavor is primarily derived from added flavoring rather than from malt and other materials used in fermentation. However,  flavored malt beverages are marketed in traditional beer bottles and cans and distributed to the alcohol beverage market through beer and malt beverage wholesalers. Their alcohol content is similar to other malt beverages – in the range of 4-6% alcohol by volume.",,,4,6,,,,,,2014-07-10 14:15:20,2015-04-07 15:49:43,"Malternative Beverages, also known as ""ready-to-drink"" beverages, are sweet, sometime carbonated, beverages that are low in alcohol.",2014-07-10 14:20:24
PGR3Er,Corona Refresca Guava Lime,Corona Refresca Guava Lime,4.5,,,161,N,verified,Verified,2019-04-23 20:21:10,2019-04-23 20:21:49,https://brewerydb-images.s3.amazonaws.com/beer/PGR3Er/upload_cB2a4r-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/PGR3Er/upload_cB2a4r-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/PGR3Er/upload_cB2a4r-large.png,https://brewerydb-images.s3.amazonaws.com/beer/PGR3Er/upload_cB2a4r-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/PGR3Er/upload_cB2a4r-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/PGR3Er/upload_cB2a4r-contentAwareLarge.png,,,,161,14,14,Malternative Beverages,2014-07-10 14:11:26,Flavored Malt Beverage,Flavored Malt Beverage,"Flavored malt beverages are brewery products that are different from traditional malt beverages like malt liquor, ales, and lagers in several aspects. Flavored malt beverages exhibit little or no traditional beer or malt beverage flavor characteristics. Their flavor is primarily derived from added flavoring rather than from malt and other materials used in fermentation. However,  flavored malt beverages are marketed in traditional beer bottles and cans and distributed to the alcohol beverage market through beer and malt beverage wholesalers. Their alcohol content is similar to other malt beverages – in the range of 4-6% alcohol by volume.",,,4,6,,,,,,2014-07-10 14:15:20,2015-04-07 15:49:43,"Malternative Beverages, also known as ""ready-to-drink"" beverages, are sweet, sometime carbonated, beverages that are low in alcohol.",2014-07-10 14:20:24
mwiF5Q,Corona Refresca Passionfruit Lime,Corona Refresca Passionfruit Lime,4.5,,,161,N,verified,Verified,2019-04-23 20:18:06,2019-04-23 20:18:45,https://brewerydb-images.s3.amazonaws.com/beer/mwiF5Q/upload_7kjbVA-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/mwiF5Q/upload_7kjbVA-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/mwiF5Q/upload_7kjbVA-large.png,https://brewerydb-images.s3.amazonaws.com/beer/mwiF5Q/upload_7kjbVA-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/mwiF5Q/upload_7kjbVA-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/mwiF5Q/upload_7kjbVA-contentAwareLarge.png,,,,161,14,14,Malternative Beverages,2014-07-10 14:11:26,Flavored Malt Beverage,Flavored Malt Beverage,"Flavored malt beverages are brewery products that are different from traditional malt beverages like malt liquor, ales, and lagers in several aspects. Flavored malt beverages exhibit little or no traditional beer or malt beverage flavor characteristics. Their flavor is primarily derived from added flavoring rather than from malt and other materials used in fermentation. However,  flavored malt beverages are marketed in traditional beer bottles and cans and distributed to the alcohol beverage market through beer and malt beverage wholesalers. Their alcohol content is similar to other malt beverages – in the range of 4-6% alcohol by volume.",,,4,6,,,,,,2014-07-10 14:15:20,2015-04-07 15:49:43,"Malternative Beverages, also known as ""ready-to-drink"" beverages, are sweet, sometime carbonated, beverages that are low in alcohol.",2014-07-10 14:20:24
Eypre4,Estrella Jalisco,Estrella Jalisco,4.5,,,36,N,verified,Verified,2016-06-10 23:41:04,2018-08-17 14:42:41,,,,,,,,,,36,3,3,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,"Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.",15,25,4,5,3,7,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,,
6QoaLw,Modelo Chelada,Modelo Chelada,3.5,,,124,N,verified,Verified,2014-08-04 20:03:25,2017-03-06 16:21:28,,,,,,,,,,124,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Herb and Spice Beer,Spice Beer,"Herb beers use herbs or spices (derived from roots, seeds, fruits, vegetable, flowers, etc.) other than or in addition to hops to create a distinct (ranging from subtle to intense) character, though individual characters of herbs and/or spices used may not always be identifiable. Under hopping often, but not always, allows the spice or herb to contribute to the flavor profile. Positive evaluations are significantly based on perceived balance of flavors. Note: Chili-flavored beers that emphasize heat rather than chili flavor should be entered as a ""spiced"" beer.  A statement by the brewer explaining what herbs or spices are used is essential in order for fair assessment in competitions. Specifying a style upon which the beer is based may help evaluation. If this beer is a classic style with an herb or spice, the brewer should specify the classic style. If no Chocolate or Coffee category exists in a competition, then chocolate and coffee beers should be entered in this category.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:45,,
